iter	Logloss
0	0.6772994566
1	0.6611808605
2	0.6485591417
3	0.6395854307
4	0.6318657693
5	0.6235498578
6	0.6180659091
7	0.6118610682
8	0.6076877894
9	0.6030979799
10	0.5987661983
11	0.5950125362
12	0.591391317
13	0.5880611291
14	0.5855408572
15	0.5827118949
16	0.5802040529
17	0.5780106877
18	0.5755985131
19	0.5739860535
20	0.5725356541
21	0.5714632956
22	0.5708979489
23	0.569186007
24	0.5688010226
25	0.5671342143
26	0.5663465007
27	0.5654605908
28	0.5644682123
29	0.5637337331
30	0.5626488589
31	0.5618995066
32	0.5612286343
33	0.5605555759
34	0.559875574
35	0.5595867714
36	0.559086146
37	0.5582556564
38	0.5577604744
39	0.5573415006
40	0.5567779541
41	0.5558292089
42	0.5553627014
43	0.5552331303
44	0.5537643433
45	0.5532567314
46	0.5527302174
47	0.5522550947
48	0.5512708171
49	0.5500995765
50	0.5492382692
51	0.5487655897
52	0.5484450694
53	0.5481762832
54	0.5479475729
55	0.547586934
56	0.5469542943
57	0.5458374023
58	0.5453704663
59	0.5450342586
60	0.5448965437
61	0.5446991653
62	0.5442968219
63	0.5440631824
64	0.5438567601
65	0.542887827
66	0.5421500902
67	0.5418730318
68	0.5413445462
69	0.5411192648
70	0.5409170429
71	0.5405431169
72	0.5401394019
73	0.5397537317
74	0.5391340792
75	0.5382016214
76	0.5380448759
77	0.5376670923
78	0.5374176368
79	0.536284286
80	0.5360416455
81	0.5358891434
82	0.5354589398
83	0.5346199207
84	0.5344513454
85	0.5339594209
86	0.5335092437
87	0.5326201192
88	0.5324809471
89	0.5322458503
90	0.5319297448
91	0.531601295
92	0.5312449852
93	0.5305463812
94	0.5299831776
95	0.5298447341
96	0.5292593281
97	0.5290121014
98	0.5284920596
99	0.5283395146
