iter	Passed	Remaining
406	9120	2083
407	9142	2061
408	9161	2038
409	9180	2015
410	9199	1992
411	9218	1969
412	9242	1946
413	9263	1924
414	9284	1901
415	9305	1878
416	9325	1856
417	9345	1833
418	9365	1810
419	9388	1788
420	9410	1765
421	9429	1742
422	9449	1720
423	9468	1697
424	9487	1674
425	9507	1651
426	9527	1628
427	9548	1606
428	9568	1583
429	9588	1560
430	9608	1538
431	9628	1515
432	9648	1492
433	9669	1470
434	9698	1449
435	9725	1427
436	9749	1405
437	9771	1383
438	9792	1360
439	9812	1338
440	9837	1316
441	9858	1293
442	9878	1271
443	9901	1248
444	9924	1226
445	9947	1204
446	9967	1181
447	9988	1159
448	10008	1136
449	10028	1114
450	10048	1091
451	10067	1069
452	10087	1046
453	10108	1024
454	10128	1001
455	10147	979
456	10166	956
457	10185	934
458	10204	911
459	10224	889
460	10244	866
461	10270	844
462	10294	822
463	10316	800
464	10337	778
465	10361	755
466	10386	733
467	10409	711
468	10433	689
469	10463	667
470	10487	645
471	10499	622
472	10511	600
473	10522	577
474	10545	555
475	10568	532
476	10591	510
477	10620	488
478	10632	466
479	10661	444
480	10689	422
481	10713	400
482	10737	377
483	10758	355
484	10778	333
485	10798	311
486	10818	288
487	10838	266
488	10858	244
489	10867	221
490	10887	199
491	10913	177
492	10934	155
493	10953	133
494	10974	110
495	10997	88
496	11017	66
497	11027	44
498	11036	22
499	11056	0
