iter	RMSE
280	0.847029187
281	0.836441322
282	0.8259858053
283	0.8156609826
284	0.8054652202
285	0.7953969048
286	0.7854544433
287	0.7756362626
288	0.7659408092
289	0.7563665489
290	0.7469119669
291	0.7375755672
292	0.7283558725
293	0.719251424
294	0.710260781
295	0.7013825211
296	0.6926152395
297	0.6839575489
298	0.6754080794
299	0.6669654782
300	0.6586284096
301	0.6503955544
302	0.6422656099
303	0.6342372896
304	0.6263093234
305	0.6184804567
306	0.6107494509
307	0.6031150826
308	0.595576144
309	0.5881314421
310	0.5807797989
311	0.5735200514
312	0.5663510506
313	0.5592716624
314	0.5522807665
315	0.5453772568
316	0.538560041
317	0.5318280404
318	0.5251801898
319	0.5186154373
320	0.5121327442
321	0.5057310848
322	0.4994094462
323	0.493166828
324	0.4870022426
325	0.4809147144
326	0.4749032804
327	0.4689669893
328	0.4631049019
329	0.4573160905
330	0.4515996393
331	0.4459546437
332	0.4403802106
333	0.4348754579
334	0.4294395146
335	0.4240715206
336	0.4187706265
337	0.4135359936
338	0.4083667936
339	0.4032622086
340	0.3982214309
341	0.3932436629
342	0.3883281171
343	0.3834740155
344	0.3786805903
345	0.3739470828
346	0.3692727442
347	0.3646568349
348	0.3600986243
349	0.3555973915
350	0.351152424
351	0.3467630186
352	0.3424284809
353	0.3381481248
354	0.3339212732
355	0.3297472572
356	0.3256254164
357	0.3215550986
358	0.3175356598
359	0.313566464
360	0.3096468832
361	0.3057762971
362	0.3019540933
363	0.2981796671
364	0.2944524212
365	0.2907717659
366	0.2871371187
367	0.2835479047
368	0.2800035558
369	0.2765035113
370	0.2730472174
371	0.2696341271
372	0.2662637005
373	0.2629354042
374	0.2596487116
375	0.2564031026
376	0.2531980638
377	0.250033088
378	0.2469076743
379	0.2438213283
380	0.2407735617
381	0.2377638921
382	0.2347918434
383	0.2318569453
384	0.2289587335
385	0.2260967493
386	0.2232705399
387	0.2204796581
388	0.2177236623
389	0.2150021165
390	0.21231459
391	0.2096606576
392	0.2070398993
393	0.2044519005
394	0.2018962517
395	0.1993725486
396	0.1968803917
397	0.1944193867
398	0.1919891444
399	0.18958928
400	0.187219414
401	0.1848791713
402	0.1825681816
403	0.1802860793
404	0.1780325033
405	0.175807097
406	0.1736095082
407	0.1714393893
408	0.1692963969
409	0.1671801919
410	0.1650904395
411	0.163026809
412	0.1609889738
413	0.1589766116
414	0.156989404
415	0.1550270364
416	0.1530891984
417	0.1511755834
418	0.1492858886
419	0.1474198149
420	0.1455770672
421	0.1437573538
422	0.1419603869
423	0.140185882
424	0.1384335585
425	0.136703139
426	0.1349943497
427	0.1333069203
428	0.1316405838
429	0.1299950765
430	0.128370138
431	0.1267655112
432	0.1251809423
433	0.1236161805
434	0.1220709782
435	0.120545091
436	0.1190382773
437	0.1175502988
438	0.1160809201
439	0.1146299086
440	0.1131970347
441	0.1117820717
442	0.1103847958
443	0.1090049858
444	0.1076424235
445	0.1062968932
446	0.104968182
447	0.1036560797
448	0.1023603787
449	0.1010808739
450	0.099817363
451	0.09856964594
452	0.09733752535
453	0.09612080626
454	0.09491929617
455	0.09373280495
456	0.09256114487
457	0.09140413054
458	0.09026157889
459	0.08913330914
460	0.08801914276
461	0.08691890346
462	0.08583241715
463	0.08475951192
464	0.083700018
465	0.08265376776
466	0.08162059565
467	0.08060033819
468	0.07959283395
469	0.07859792351
470	0.07761544945
471	0.07657797792
472	0.07556818296
473	0.07458550698
474	0.07365318813
475	0.07273252326
476	0.07182336671
477	0.07092557461
478	0.07001638381
479	0.069141179
480	0.06827691425
481	0.06742345281
482	0.06658065963
483	0.06574840138
484	0.06492654635
485	0.06411496451
486	0.06331352744
487	0.06252210833
488	0.06174058197
489	0.06096067905
490	0.06019867055
491	0.05944618716
492	0.05870310981
493	0.05796932092
494	0.0572447044
495	0.05652914559
496	0.05582253126
497	0.05512793563
498	0.05445250572
499	0.05377184939
